question_id,typo_method,iteration,question_with_typo
0,random,12,yhav xs use capztal ov iraace
0,random,13,yhav xs use catztal ov iraace
0,random,14,yhav xf use catztal ov iraace
0,random,15,yhav xf use catztal nv iraace
0,random,16,yhav xf use catztal nv iaaace
0,random,17,yhav xf usz catztal nv iaaace
0,random,18,yhav xf osz catztal nv iaaace
0,random,19,yhav xf ozz catztal nv iaaace
0,keyboard_aware,0,what is the capital pf france
0,keyboard_aware,1,what ix the capital pf france
0,keyboard_aware,2,what ix the capktal pf france
0,keyboard_aware,3,what ox the capktal pf france
0,keyboard_aware,4,what kx the capktal pf france
0,keyboard_aware,5,what kx the capktap pf france
0,keyboard_aware,6,what mx the capktap pf france
0,keyboard_aware,7,what mx the capkrap pf france
0,keyboard_aware,8,what mx the capkrap pf crance
0,keyboard_aware,9,what mx the capkrap lf crance
0,keyboard_aware,10,what mx tbe capkrap lf crance
0,keyboard_aware,11,what jx tbe capkrap lf crance
0,keyboard_aware,12,what jx tbe capkrap of crance
0,keyboard_aware,13,what jx tbe capkrap oc crance
0,keyboard_aware,14,what jx tbe capkrap of crance
0,keyboard_aware,15,what nx tbe capkrap of crance
0,keyboard_aware,16,what nx tbd capkrap of crance
0,keyboard_aware,17,what nx tbd capkrap od crance
0,keyboard_aware,18,whqt nx tbd capkrap od crance
0,keyboard_aware,19,whqt nz tbd capkrap od crance
0,random,0,woat is the capital of france
0,random,1,woat is the capital ff france
0,random,2,woat is the rapital ff france
0,random,3,woat is the rapital mf france
0,random,4,woat is toe rapital mf france
0,random,5,woat is toe rapital mf franch
0,random,6,woat ps toe rapital mf franch
0,random,7,woat pt toe rapital mf franch
0,random,8,woat pt toe rapital xf franch
0,random,9,woat pt toe rapital xf granch
0,random,10,woat pt toe rapital jf granch
0,random,11,woat pd toe rapital jf granch
0,random,12,woat pd toe rapital jx granch
0,random,13,woat pd toe rapital gx granch
0,random,14,woat pd tou rapital gx granch
0,random,15,woat pd tou ravital gx granch
0,random,16,woat pd ttu ravital gx granch
0,random,17,woat pd thu ravital gx granch
0,random,18,woat pd ehu ravital gx granch
0,random,19,woat pd ewu ravital gx granch
0,keyboard_aware,0,what is the capital lf france
0,keyboard_aware,1,what is the capital lt france
0,keyboard_aware,2,what is the capjtal lt france
0,keyboard_aware,3,what ix the capjtal lt france
0,keyboard_aware,4,what ix the capjral lt france
0,keyboard_aware,5,what ox the capjral lt france
0,keyboard_aware,6,what ox the capjral pt france
0,keyboard_aware,7,what kx the capjral pt france
0,keyboard_aware,8,whay kx the capjral pt france
0,keyboard_aware,9,whay lx the capjral pt france
0,keyboard_aware,10,whay lx the caojral pt france
0,keyboard_aware,11,whay lx thr caojral pt france
0,keyboard_aware,12,whay lx thr capjral pt france
0,keyboard_aware,13,whay px thr capjral pt france
0,keyboard_aware,14,whay px thr capjral pg france
0,keyboard_aware,15,whay px thr capjral pg frabce
0,keyboard_aware,16,whay px thr capjral pg frqbce
0,keyboard_aware,17,whqy px thr capjral pg frqbce
0,keyboard_aware,18,ehqy px thr capjral pg frqbce
0,keyboard_aware,19,ehqy px fhr capjral pg frqbce
0,random,0,what is the capstal of france
0,random,1,what is the capstal of orance
0,random,2,what is the cavstal of orance
0,random,3,what is the gavstal of orance
0,random,4,what is the gavstal oh orance
0,random,5,what is the gavstal oh orance
0,random,6,what is tqe gavstal oh orance
0,random,7,what is tqe gavstal ah orance
0,random,8,what is tqe aavstal ah orance
0,random,9,what is tqe aavstal ah orance
0,random,10,what is sqe aavstal ah orance
0,random,11,what iq sqe aavstal ah orance
0,random,12,what iq sqe aavstal at orance
0,random,13,what iq sqt aavstal at orance
0,random,14,what iq sqt aavsttl at orance
0,random,15,what iq nqt aavsttl at orance
0,random,16,woat iq nqt aavsttl at orance
0,random,17,woat iq nqt aavsitl at orance
0,random,18,woat iq nqt aavsntl at orance
0,random,19,woat iq nqt aavsntl at orancz
0,keyboard_aware,0,whaf is the capital of france
0,keyboard_aware,1,wjaf is the capital of france
0,keyboard_aware,2,wjaf os the capital of france
0,keyboard_aware,3,wjaf os the capital of grance
0,keyboard_aware,4,wjaf os the capital of grabce
0,keyboard_aware,5,wjaf os thw capital of grabce
0,keyboard_aware,6,wkaf os thw capital of grabce
0,keyboard_aware,7,wkaf os thw caoital of grabce
0,keyboard_aware,8,wkaf os thw caoital of gdabce
0,keyboard_aware,9,wkaf os thw caoigal of gdabce
0,keyboard_aware,10,woaf os thw caoigal of gdabce
0,keyboard_aware,11,woaf ox thw caoigal of gdabce
0,keyboard_aware,12,aoaf ox thw caoigal of gdabce
0,keyboard_aware,13,aoaf ox ghw caoigal of gdabce
0,keyboard_aware,14,aoaf ox ghw caoigal of gdabve
0,keyboard_aware,15,aoac ox ghw caoigal of gdabve
0,keyboard_aware,16,aoac oz ghw caoigal of gdabve
0,keyboard_aware,17,aoac oz ghq caoigal of gdabve
0,keyboard_aware,18,qoac oz ghq caoigal of gdabve
0,keyboard_aware,19,qoac oz ghq caiigal of gdabve
0,random,0,what ip the capital of france
0,random,1,what jp the capital of france
0,random,2,what jp ehe capital of france
0,random,3,what jp ehe capital of erance
0,random,4,what jp lhe capital of erance
0,random,5,what jp lhe capital ox erance
0,random,6,what jp lhe cagital ox erance
0,random,7,what jp lhe cagital ok erance
0,random,8,what jp lhe cagitad ok erance
0,random,9,what bp lhe cagitad ok erance
0,random,10,what bp lhe cagitad gk erance
0,random,11,qhat bp lhe cagitad gk erance
0,random,12,qhat bp lhe cagitad gk eragce
0,random,13,qhat bp lye cagitad gk eragce
0,random,14,qhat bp lye cagitad gk eaagce
0,random,15,qhat bt lye cagitad gk eaagce
0,random,16,qhat bt lyi cagitad gk eaagce
0,random,17,qhat bt lyi cagitad sk eaagce
0,random,18,qhat bt lyi cagidad sk eaagce
0,random,19,qhat bt lyi cagidad sk eamgce
0,keyboard_aware,0,what ix the capital of france
0,keyboard_aware,1,what ix the capital ov france
0,keyboard_aware,2,what ix yhe capital ov france
0,keyboard_aware,3,whwt ix yhe capital ov france
0,keyboard_aware,4,whwt ix yhe capital oc france
0,keyboard_aware,5,whwt ix yhe capitak oc france
0,keyboard_aware,6,whwt ix yhe capitak pc france
0,keyboard_aware,7,whwt ix yhe capitak oc france
0,keyboard_aware,8,whwf ix yhe capitak oc france
0,keyboard_aware,9,whwf ix yhe capitak oc frznce
0,keyboard_aware,10,ahwf ix yhe capitak oc frznce
0,keyboard_aware,11,ahwf is yhe capitak oc frznce
0,keyboard_aware,12,ahwf is yhd capitak oc frznce
0,keyboard_aware,13,ahwf is yhd cspitak oc frznce
0,keyboard_aware,14,ahwf is thd cspitak oc frznce
0,keyboard_aware,15,ahwf is thd cspitak kc frznce
0,keyboard_aware,16,ahwf is rhd cspitak kc frznce
0,keyboard_aware,17,ahwf is rhd cspifak kc frznce
0,keyboard_aware,18,ahwf is rhd cspifak lc frznce
0,keyboard_aware,19,ahwf is rhd cspifak ld frznce
0,random,0,what is the capitvl of france
0,random,1,what is the capitvl of franke
0,random,2,whaq is the capitvl of franke
0,random,3,whaq is the capitvl os franke
0,random,4,whaq ys the capitvl os franke
0,random,5,whaq ys the caprtvl os franke
0,random,6,whaq ys the capltvl os franke
0,random,7,whaq ys the capltvl on franke
0,random,8,whaq ys the capltvl kn franke
0,random,9,whaq ys the capltvl kn franke
0,random,10,whaq ys thf capltvl kn franke
0,random,11,whaq ys thf capltvl kn frabke
0,random,12,whaq ys thf capltvl kn frzbke
0,random,13,zhaq ys thf capltvl kn frzbke
0,random,14,zhaq ys thf capltvl kn frzbie
0,random,15,zhaq ys shf capltvl kn frzbie
0,random,16,zhaq ys shf capltvl kn irzbie
0,random,17,zhaq ys shf capltvl kn iozbie
0,random,18,zhaq ys she capltvl kn iozbie
0,random,19,zhaq ys she capltvt kn iozbie
0,keyboard_aware,0,what is yhe capital of france
0,keyboard_aware,1,what is yhw capital of france
0,keyboard_aware,2,what is yhw capital of feance
0,keyboard_aware,3,what is yhe capital of feance
0,keyboard_aware,4,whar is yhe capital of feance
0,keyboard_aware,5,whar ix yhe capital of feance
0,keyboard_aware,6,whar ic yhe capital of feance
0,keyboard_aware,7,whar ic yhe capital pf feance
0,keyboard_aware,8,whar ic yhe capital pf feabce
0,keyboard_aware,9,whar ic yhr capital pf feabce
0,keyboard_aware,10,whar ix yhr capital pf feabce
0,keyboard_aware,11,whar ox yhr capital pf feabce
0,keyboard_aware,12,whar lx yhr capital pf feabce
0,keyboard_aware,13,whar lc yhr capital pf feabce
0,keyboard_aware,14,whar kc yhr capital pf feabce
0,keyboard_aware,15,whar ic yhr capital pf feabce
0,keyboard_aware,16,whar ic ynr capital pf feabce
0,keyboard_aware,17,whar ic ynr capital lf feabce
0,keyboard_aware,18,whar ic ynr capital lt feabce
0,keyboard_aware,19,whar ic ynr capital lt feagce
0,random,0,what is the capital of francl
0,random,1,what is the capital of franul
0,random,2,what is thz capital of franul
0,random,3,what is thz capital gf franul
0,random,4,what is thz capctal gf franul
0,random,5,what is thz capctal gf wranul
0,random,6,ohat is thz capctal gf wranul
0,random,7,ohat is thz capctal gq wranul
0,random,8,ohat is thz capctao gq wranul
0,random,9,ohat is thz capctho gq wranul
0,random,10,ohat is thz capcthc gq wranul
0,random,11,ohct is thz capcthc gq wranul
0,random,12,ohct is thz capcthc gq cranul
0,random,13,ohct is thz capcthc gn cranul
0,random,14,dhct is thz capcthc gn cranul
0,random,15,doct is thz capcthc gn cranul
0,random,16,doct is thz capcthc gn cranul
0,random,17,doct is thz capcthc gn crauul
0,random,18,doct is thz capcthc gn crauuv
0,random,19,doct is thz capcthc gn wrauuv
0,keyboard_aware,0,what is fhe capital of france
0,keyboard_aware,1,what is fhe capitql of france
0,keyboard_aware,2,what os fhe capitql of france
0,keyboard_aware,3,what os fhe capitql of crance
0,keyboard_aware,4,what os fhe czpitql of crance
0,keyboard_aware,5,what os fhe czpitql of crwnce
0,keyboard_aware,6,what os fhe czpifql of crwnce
0,keyboard_aware,7,what os dhe czpifql of crwnce
0,keyboard_aware,8,what os dhe czpufql of crwnce
0,keyboard_aware,9,what os dhe czpufql if crwnce
0,keyboard_aware,10,what os dhe czpifql if crwnce
0,keyboard_aware,11,what os dhe czpifqo if crwnce
0,keyboard_aware,12,what ks dhe czpifqo if crwnce
0,keyboard_aware,13,what ks dhw czpifqo if crwnce
0,keyboard_aware,14,wbat ks dhw czpifqo if crwnce
0,keyboard_aware,15,wbat ks dhw czoifqo if crwnce
0,keyboard_aware,16,wbat ks dhw czoifqo kf crwnce
0,keyboard_aware,17,wbat ks dhw czoifqo jf crwnce
0,keyboard_aware,18,wbat ks dhw czoifqk jf crwnce
0,keyboard_aware,19,wbag ks dhw czoifqk jf crwnce
0,random,0,what is the capital of fradce
0,random,1,what ks the capital of fradce
0,random,2,what ks the capikal of fradce
0,random,3,what ki the capikal of fradce
0,random,4,what ki the capikal yf fradce
0,random,5,what ki phe capikal yf fradce
0,random,6,what ki pha capikal yf fradce
0,random,7,what wi pha capikal yf fradce
0,random,8,what wi pha caqikal yf fradce
0,random,9,what wi pha caqikas yf fradce
0,random,10,what we pha caqikas yf fradce
0,random,11,what we pha caqikis yf fradce
0,random,12,what we pha caqikis yf france
0,random,13,what we pha caqikis yf fraoce
0,random,14,what we pha caqikis af fraoce
0,random,15,what we pha caqikis af fraocv
0,random,16,what we pha caqikis af fraocv
0,random,17,what we pha caqikis ac fraocv
0,random,18,what we pha caqikis xc fraocv
0,random,19,what wu pha caqikis xc fraocv
0,keyboard_aware,0,qhat is the capital of france
0,keyboard_aware,1,qhat is the capital of franfe
0,keyboard_aware,2,qhat is the capital ot franfe
0,keyboard_aware,3,qhat is the capiyal ot franfe
0,keyboard_aware,4,qhat is the caliyal ot franfe
0,keyboard_aware,5,qhat iz the caliyal ot franfe
0,keyboard_aware,6,qhat uz the caliyal ot franfe
0,keyboard_aware,7,qhat hz the caliyal ot franfe
0,keyboard_aware,8,qhat hs the caliyal ot franfe
0,keyboard_aware,9,qhst hs the caliyal ot franfe
0,keyboard_aware,10,qhst hs tje caliyal ot franfe
0,keyboard_aware,11,qhst hs tje caliyal pt franfe
0,keyboard_aware,12,qhsg hs tje caliyal pt franfe
0,keyboard_aware,13,qhsg hs tje caliyal pt ffanfe
0,keyboard_aware,14,qhsg hs tje caliyal pt ffajfe
0,keyboard_aware,15,qhsg hs tje caliyap pt ffajfe
0,keyboard_aware,16,qhsg he tje caliyap pt ffajfe
0,keyboard_aware,17,qhsg he tje caliyap py ffajfe
0,keyboard_aware,18,qhsg he tje csliyap py ffajfe
0,keyboard_aware,19,qhsg he tje csliyap ly ffajfe
0,random,0,what is dhe capital of france
0,random,1,what is dhe capitrl of france
0,random,2,what io dhe capitrl of france
0,random,3,what io dhe calitrl of france
0,random,4,what io dhe calitrl jf france
0,random,5,what io dxe calitrl jf france
0,random,6,what io dxe cawitrl jf france
0,random,7,lhat io dxe cawitrl jf france
0,random,8,lhat ib dxe cawitrl jf france
0,random,9,lhft ib dxe cawitrl jf france
0,random,10,lhft ib dxe cawgtrl jf france
0,random,11,lhft tb dxe cawgtrl jf france
0,random,12,lhft tb dye cawgtrl jf france
0,random,13,lhft tb dye cvwgtrl jf france
0,random,14,lhbt tb dye cvwgtrl jf france
0,random,15,lhbt tb dye cvwgtrl jm france
0,random,16,lhbt tb vye cvwgtrl jm france
0,random,17,lhbt tb vye cvxgtrl jm france
0,random,18,lhbt tb vyh cvxgtrl jm france
0,random,19,lhbt tb vyh cvxgtrl wm france
0,keyboard_aware,0,whay is the capital of france
0,keyboard_aware,1,wbay is the capital of france
0,keyboard_aware,2,wbah is the capital of france
0,keyboard_aware,3,wbah is ghe capital of france
0,keyboard_aware,4,wbah is ghw capital of france
0,keyboard_aware,5,wnah is ghw capital of france
0,keyboard_aware,6,wnah is ghw capital of frqnce
0,keyboard_aware,7,wnah is ghs capital of frqnce
0,keyboard_aware,8,wnah iz ghs capital of frqnce
0,keyboard_aware,9,wnah iz ghs capital kf frqnce
0,keyboard_aware,10,wnah iz ghz capital kf frqnce
0,keyboard_aware,11,wnah iz thz capital kf frqnce
0,keyboard_aware,12,wnah jz thz capital kf frqnce
0,keyboard_aware,13,wnwh jz thz capital kf frqnce
0,keyboard_aware,14,wnwh jz thz capital kf frqmce
0,keyboard_aware,15,wnwh jz thz capital kf frqkce
0,keyboard_aware,16,wnwh jz tha capital kf frqkce
0,keyboard_aware,17,wnwh jz tha capital if frqkce
0,keyboard_aware,18,wnwh jz tha capitzl if frqkce
0,keyboard_aware,19,anwh jz tha capitzl if frqkce
0,random,0,what is thh capital of france
0,random,1,what is thh capital ot france
0,random,2,xhat is thh capital ot france
0,random,3,xhat is thh capitdl ot france
0,random,4,xhat is thh capitdl ot fraece
0,random,5,xhat is thh capitdl ol fraece
0,random,6,xhas is thh capitdl ol fraece
0,random,7,xhas is thh capitdl bl fraece
0,random,8,xhas is thh capmtdl bl fraece
0,random,9,xhas ix thh capmtdl bl fraece
0,random,10,xhas ex thh capmtdl bl fraece
0,random,11,xhas ex thh capmtdl bj fraece
0,random,12,thas ex thh capmtdl bj fraece
0,random,13,thas ex thh capmtdx bj fraece
0,random,14,thas fx thh capmtdx bj fraece
0,random,15,tqas fx thh capmtdx bj fraece
0,random,16,tqas kx thh capmtdx bj fraece
0,random,17,tras kx thh capmtdx bj fraece
0,random,18,tras kx thh capmtdx bj fraebe
0,random,19,tras kx thz capmtdx bj fraebe
0,keyboard_aware,0,what is thr capital of france
0,keyboard_aware,1,what us thr capital of france
0,keyboard_aware,2,what is thr capital of france
0,keyboard_aware,3,what is thf capital of france
0,keyboard_aware,4,what is thf cqpital of france
0,keyboard_aware,5,what is thf cqpital if france
0,keyboard_aware,6,what us thf cqpital if france
0,keyboard_aware,7,what us tgf cqpital if france
0,keyboard_aware,8,wjat us tgf cqpital if france
0,keyboard_aware,9,wjwt us tgf cqpital if france
0,keyboard_aware,10,wjwt us tgf cqpital if franfe
0,keyboard_aware,11,wjat us tgf cqpital if franfe
0,keyboard_aware,12,wjat ys tgf cqpital if franfe
0,keyboard_aware,13,wjat ys thf cqpital if franfe
0,keyboard_aware,14,wjqt ys thf cqpital if franfe
0,keyboard_aware,15,wjqy ys thf cqpital if franfe
0,keyboard_aware,16,wjqy ys thf cqpital if feanfe
0,keyboard_aware,17,wjqy us thf cqpital if feanfe
0,keyboard_aware,18,wjqy us thf cqpital if feanfr
0,keyboard_aware,19,wjqy us thf cqpital if fesnfr
